Spike-contrast (60.0 s),Spike-contrast (54.0 s),Spike-contrast (48.6 s),Spike-contrast (43.74 s),Spike-contrast (39.366 s),Spike-contrast (35.429 s),Spike-contrast (31.886 s),Spike-contrast (28.698 s),Spike-contrast (25.828 s),Spike-contrast (23.245 s),Spike-contrast (20.921 s),Spike-contrast (18.829 s),Spike-contrast (16.946 s),Spike-contrast (15.251 s),Spike-contrast (13.726 s),Spike-contrast (12.353 s),Spike-contrast (11.118 s),Spike-contrast (10.006 s),Spike-contrast (9.006 s),Spike-contrast (8.105 s),Spike-contrast (7.295 s),Spike-contrast (6.565 s),Spike-contrast (5.909 s),Spike-contrast (5.318 s),Spike-contrast (4.786 s),Spike-contrast (4.307 s),Spike-contrast (3.877 s),Spike-contrast (3.489 s),Spike-contrast (3.14 s),Spike-contrast (2.826 s),Spike-contrast (2.543 s),Spike-contrast (2.289 s),Spike-contrast (2.06 s),Spike-contrast (1.854 s),Spike-contrast (1.669 s),Spike-contrast (1.502 s),Spike-contrast (1.352 s),Spike-contrast (1.217 s),Spike-contrast (1.095 s),Spike-contrast (0.985 s),Spike-contrast (0.887 s),Spike-contrast (0.798 s),Spike-contrast (0.718 s),Spike-contrast (0.647 s),Spike-contrast (0.582 s),Spike-contrast (0.524 s),Spike-contrast (0.471 s),Spike-contrast (0.424 s),Spike-contrast (0.382 s),Spike-contrast (0.344 s),Spike-contrast (0.309 s),Spike-contrast (0.278 s),Spike-contrast (0.25 s),Spike-contrast (0.225 s),Spike-contrast (0.203 s),Spike-contrast (0.183 s),Spike-contrast (0.164 s),Spike-contrast (0.148 s),Spike-contrast (0.133 s),Spike-contrast (0.12 s),Spike-contrast (0.108 s),Spike-contrast (0.097 s),Spike-contrast (0.087 s),Spike-contrast (0.079 s),Spike-contrast (0.071 s),Spike-contrast (0.064 s),Spike-contrast (0.057 s),Spike-contrast (0.052 s),Spike-contrast (0.046 s),Spike-contrast (0.042 s),Spike-contrast (0.038 s),Spike-contrast (0.034 s),Spike-contrast (0.03 s),Spike-contrast (0.027 s),Spike-contrast (0.025 s),Spike-contrast (0.022 s),Spike-contrast (0.02 s),Spike-contrast (0.018 s),Spike-contrast (0.016 s),Spike-contrast (0.015 s),Spike-contrast (0.013 s),Spike-contrast (0.012 s),Spike-contrast (0.011 s),group,y,days_after_treatment,Spike-contrast (30.5 s),Spike-contrast (27.45 s),Spike-contrast (24.705 s),Spike-contrast (22.234 s),Spike-contrast (20.011 s),Spike-contrast (18.01 s),Spike-contrast (16.209 s),Spike-contrast (14.588 s),Spike-contrast (13.129 s),Spike-contrast (11.816 s),Spike-contrast (10.635 s),Spike-contrast (9.571 s),Spike-contrast (8.614 s),Spike-contrast (7.753 s),Spike-contrast (6.977 s),Spike-contrast (6.28 s),Spike-contrast (5.652 s),Spike-contrast (5.087 s),Spike-contrast (4.578 s),Spike-contrast (4.12 s),Spike-contrast (3.708 s),Spike-contrast (3.337 s),Spike-contrast (3.004 s),Spike-contrast (2.703 s),Spike-contrast (2.433 s),Spike-contrast (2.19 s),Spike-contrast (1.971 s),Spike-contrast (1.774 s),Spike-contrast (1.596 s),Spike-contrast (1.437 s),Spike-contrast (1.293 s),Spike-contrast (1.164 s),Spike-contrast (1.047 s),Spike-contrast (0.943 s),Spike-contrast (0.848 s),Spike-contrast (0.763 s),Spike-contrast (0.687 s),Spike-contrast (0.618 s),Spike-contrast (0.557 s),Spike-contrast (0.501 s),Spike-contrast (0.451 s),Spike-contrast (0.406 s),Spike-contrast (0.365 s),Spike-contrast (0.329 s),Spike-contrast (0.296 s),Spike-contrast (0.266 s),Spike-contrast (0.24 s),Spike-contrast (0.216 s),Spike-contrast (0.194 s),Spike-contrast (0.175 s),Spike-contrast (0.157 s),Spike-contrast (0.141 s),Spike-contrast (0.127 s),Spike-contrast (0.115 s),Spike-contrast (0.103 s),Spike-contrast (0.093 s),Spike-contrast (0.084 s),Spike-contrast (0.075 s),Spike-contrast (0.068 s),Spike-contrast (0.061 s),Spike-contrast (0.055 s),Spike-contrast (0.049 s),Spike-contrast (0.044 s),Spike-contrast (0.04 s),Spike-contrast (0.036 s),Spike-contrast (0.032 s),Spike-contrast (0.029 s),Spike-contrast (0.026 s),Spike-contrast (0.024 s),Spike-contrast (0.021 s),Spike-contrast (0.019 s),Spike-contrast (0.017 s),Spike-contrast (0.014 s),Spike-contrast (0.01 s),Spike-contrast (39.125 s),Spike-contrast (35.212 s),Spike-contrast (31.691 s),Spike-contrast (28.522 s),Spike-contrast (25.67 s),Spike-contrast (23.103 s),Spike-contrast (20.793 s),Spike-contrast (18.713 s),Spike-contrast (16.842 s),Spike-contrast (15.158 s),Spike-contrast (13.642 s),Spike-contrast (12.278 s),Spike-contrast (11.05 s),Spike-contrast (9.945 s),Spike-contrast (8.951 s),Spike-contrast (8.055 s),Spike-contrast (7.25 s),Spike-contrast (6.525 s),Spike-contrast (5.872 s),Spike-contrast (5.285 s),Spike-contrast (4.757 s),Spike-contrast (4.281 s),Spike-contrast (3.853 s),Spike-contrast (3.468 s),Spike-contrast (3.121 s),Spike-contrast (2.809 s),Spike-contrast (2.528 s),Spike-contrast (2.275 s),Spike-contrast (2.048 s),Spike-contrast (1.843 s),Spike-contrast (1.659 s),Spike-contrast (1.493 s),Spike-contrast (1.343 s),Spike-contrast (1.209 s),Spike-contrast (1.088 s),Spike-contrast (0.979 s),Spike-contrast (0.881 s),Spike-contrast (0.793 s),Spike-contrast (0.714 s),Spike-contrast (0.643 s),Spike-contrast (0.578 s),Spike-contrast (0.52 s),Spike-contrast (0.468 s),Spike-contrast (0.422 s),Spike-contrast (0.379 s),Spike-contrast (0.341 s),Spike-contrast (0.307 s),Spike-contrast (0.277 s),Spike-contrast (0.249 s),Spike-contrast (0.224 s),Spike-contrast (0.202 s),Spike-contrast (0.181 s),Spike-contrast (0.163 s),Spike-contrast (0.147 s),Spike-contrast (0.132 s),Spike-contrast (0.119 s),Spike-contrast (0.107 s),Spike-contrast (0.096 s),Spike-contrast (0.078 s),Spike-contrast (0.07 s),Spike-contrast (0.063 s),Spike-contrast (0.051 s),Spike-contrast (0.037 s)
0.18737928988682,0.1819371892159743,0.2509359042819477,0.1624536786602191,0.2420415799745165,0.1868396160914845,0.1747344515739249,0.1847165988795948,0.2481166061069675,0.1162609372852627,0.2746194906207106,0.2124743220670292,0.2675516170475352,0.2098850889054325,0.3311209596093625,0.2917329696143063,0.1626127164416002,0.2766590591440652,0.2446659754596274,0.3657549082528661,0.2923535546544532,0.4111141363035222,0.3480999284145645,0.4150363917953043,0.4022866602196353,0.4060013726403196,0.4106657165778382,0.4175328713768774,0.4135959165569944,0.4093364047262633,0.4121619691544962,0.4106268257590071,0.4136267795715714,0.397896646828277,0.3991837149683725,0.4004008801934682,0.3970563700585474,0.3824640731601103,0.3829687908259544,0.3893704940242898,0.3765518943242851,0.3947496733923646,0.3949376300382252,0.3892148836309091,0.3810735955871679,0.3873496879082596,0.3995971839163884,0.3990988532443025,0.393407170852083,0.3880476121352881,0.3883589296946824,0.3827123917356171,0.3742409638554217,0.3709302269318236,0.3707349397590362,0.3583598974210093,0.3494637828422122,0.3362965113465911,0.3280067256979726,0.3044815406203125,0.2947423428654376,0.2823556878114869,0.2572301253205593,0.2514859437751004,0.2318983887356655,0.2346253931388203,0.221247931484976,0.221728843083176,0.2132434315575555,0.2145768616635215,0.2080360961919969,0.2120191609812744,0.2019310494992016,0.192805341849325,0.1810174190738858,0.1744221222238351,0.1636331349494363,0.1626790535636522,0.1506014419122272,0.1408065998935501,0.1354016548120191,0.1316179416461025,0.1219120336768761,CTRL,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.348931134880969,0.3381149191215606,0.3098106279746064,0.2967401490707522,0.2867016423697155,0.2073572235098353,0.1990005503577325,0.1961480309423347,0.1830667830641641,0.1988722896372055,0.1940730950608091,0.1820613766055131,0.2824673380763189,0.2711962795281653,0.2632748775755336,0.2070874988450522,0.2130385879697772,0.3596139159259681,0.3687762635325563,0.2136856324808404,0.2206622965641952,0.224780026337714,0.3674680856781961,0.3557849870522574,0.4387019016829385,0.4409168894471822,0.4378898659022342,0.4365093490972178,0.4433152348518924,0.4452569127631776,0.4508218209856711,0.4424892910429802,0.4161514067371505,0.4492489023653292,0.4453766718540267,0.438974079243608,0.4451693913675913,0.4353515996368103,0.4489070127650483,0.4437404262137477,0.4235154622656625,0.4179056775089462,0.462813651658388,0.4426790578432943,0.4402935427014901,0.4503825241681354,0.4377798429738824,0.4546809806120813,0.4174580996635154,0.4090011216151258,0.4253369652299311,0.4037098755541313,0.4097977888158949,0.4054734818138119,0.3948597981092773,0.3976424718260962,0.3894076803930994,0.3625384820808631,0.3475041392939165,0.3477664904128612,0.3254247716712065,0.2938744859264006,0.2929526251134968,0.2720076910751482,0.2680348234791433,0.2518698926454094,0.2400587512684933,0.232649895850024,0.2483537894568178,0.2403439619719062,0.2309629867008492,0.2160551193718955,0.2191994872616568,0.205683277252577,0.2014732681728355,0.1869208994285103,0.1766221225230999,0.1736757998184051,0.16695593654863,0.1549375634246648,0.1482224002563691,0.1411102921540351,0.1405127383432142,CTRL,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3716762523964324,0.3463602626320297,0.3382936186307883,0.3465274994990984,0.3652588908937102,0.348463150040179,0.3466148944643568,0.2678362573099415,0.4974818959842,0.4921940743338008,0.485126670480717,0.2998369806846811,0.3937203135472215,0.17870083959346,0.3697649852842614,0.3714236520338925,0.2297092657173302,0.2295852117710567,0.2962859633827376,0.2020585101230262,0.2004729729729729,0.2484553908747457,0.2552768090671316,0.3749904726069359,0.366828270549019,0.340670859538784,0.4595948178419267,0.3390516766657972,0.3366561021143576,0.347229951018752,0.3891681982855516,0.3975781091499289,0.380926641485405,0.3750560789591745,0.3829288412278036,0.3716189814613815,0.3648996367530644,0.3797992735061289,0.3733052094338075,0.3750869525366986,0.3622476446837147,0.3673111525974809,0.3928208078264518,0.3653055760575405,0.3667039320395374,0.362720758139288,0.3705100652686725,0.3714409759909695,0.3667789451849279,0.3560272218121825,0.3471330982387174,0.3422541623309053,0.3097883425829575,0.3137768817204301,0.300941582841947,0.3114273808147377,0.2880235431841831,0.2778413689443866,0.2500072262689328,0.2348797548849578,0.2353162215285004,0.2166553455120052,0.2062261533125217,0.195448895826107,0.1816734593594635,0.1854241338112305,0.1824642540563456,0.1767762169036882,0.1708097275214861,0.1732647319535977,0.1725093459744864,0.1707362604540024,0.1745683508690793,0.1571125756349481,0.1510839403399236,0.1435520002312406,0.1374768759394149,0.1306885189039195,0.1278139091224419,0.1221316529849308,0.1134690426638918,0.1115160230469803,0.1025487050526072,CTRL,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.380480498815449,0.2658785962251876,0.2422751414990179,0.2725520801243214,0.3875571250519318,0.3537799802388882,0.3370517167496616,0.356085703371879,0.3691319374223965,0.4264539169751974,0.2568534086431104,0.4126517679133202,0.3199161501142742,0.3045142836436766,0.2741768799335272,0.3013362115934513,0.3003750194127917,0.2698552307556628,0.3105880844378412,0.3112752038706416,0.2907020174123464,0.2825735780758269,0.295084214649432,0.2476418837058232,0.3471135496719407,0.391228954165078,0.3717978848413631,0.3416332343955554,0.3709408414233663,0.3675664793259784,0.352325786132421,0.3429761488348099,0.3569326656012324,0.3373991040461778,0.3549224638055784,0.3486485392985666,0.3426174468987394,0.3344312851070716,0.3422999145105108,0.334021070424308,0.3407528619498347,0.3404433465426207,0.3549683179399805,0.3448804083715263,0.3455180955249511,0.3386957196064636,0.3503966907101172,0.3466175457998137,0.3466147735727339,0.3473304577096759,0.3453973163343366,0.3306712460861024,0.3225406786861441,0.3257731703863211,0.3114568652705132,0.3001809440107532,0.2906411861535499,0.27943509504618,0.2726121197272428,0.2610817529765851,0.246828459833052,0.243191222979215,0.2139233981210294,0.2075843637401689,0.1981707796776274,0.1849663623960133,0.183816562483376,0.1872530751116196,0.1828802989809443,0.1742472092289687,0.1787288514663208,0.1746639423916227,0.1692159917042977,0.1642929659607977,0.157904855668118,0.152232354587324,0.1366273385046607,0.1359642517571798,0.1303636038052937,0.1209301646028559,0.1149585626976616,0.1073365116542178,0.1017907088434793,CTRL,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2262070055813697,0.2440424001211672,0.3004940424295263,0.2803063411093213,0.3221898177247014,0.2692531240918337,0.2646117117117116,0.2586489170401782,0.2597958482379438,0.2521634317635692,0.2886479271750859,0.2878417174157398,0.3044846660131634,0.2700920104534562,0.2337186584174535,0.2525643334650213,0.3044020328218441,0.2276854692468203,0.3403249003922657,0.3337469348614826,0.3131056888090135,0.3074644977458277,0.3209124691130653,0.3506366391880411,0.2903157937036442,0.2931886605993749,0.2757580284365998,0.3577126233376233,0.3443423633735603,0.3497425314014099,0.3757050217590472,0.3756814065974371,0.3895945945945946,0.3613313101236831,0.38414960762289,0.3714017884409833,0.3780147950660228,0.3675722835779942,0.3698106736177802,0.3683826025432715,0.3755513822459208,0.3834483754058627,0.3676975527937066,0.3672654268808115,0.3804708025861872,0.3749491672568595,0.370538808038808,0.377878332686025,0.3778932778932779,0.3905542482465559,0.3822022572022572,0.3628686801763724,0.3741258481643096,0.351419318727011,0.3487079034270757,0.3363330708242026,0.3171298621256391,0.3097987239773557,0.3066145167549306,0.287497241751887,0.279037647233382,0.2469685902118334,0.2465942293644996,0.2401958546384222,0.2133172023374726,0.2123841535792549,0.2029741523618213,0.2167104181884587,0.2067567567567567,0.1980485870160701,0.2011213705259313,0.1969019166971025,0.1910162907840273,0.1827396442050158,0.174970800614804,0.1671878804480155,0.1595807272644266,0.1475044512417823,0.1431930241051862,0.1380117025809593,0.124480688458729,0.1245842654309715,0.1145948418858047,CTRL,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1886213802435724,0.2033152203690275,0.2391187202766969,0.2063098265895953,0.2630051257787241,0.2371572290610668,0.2328876126665071,0.3145060462171573,0.3005732638888889,0.2808520463685829,0.2661089473268578,0.2604087245139876,0.2627580264289624,0.269820110323089,0.2498132956152758,0.2861911487758945,0.2853697941222693,0.338812945901252,0.3189088512241054,0.3208482029598308,0.2586854990583803,0.2606220971147079,0.3282614121510673,0.2668409936040458,0.2928310873122118,0.354293670886076,0.3058964838255978,0.3501319619760012,0.3532676794757224,0.3840209937018894,0.3831809481283024,0.3728203753351207,0.3716968722073279,0.3895139669790272,0.3733198093535895,0.3791491553174071,0.3892505388331475,0.3661488309953239,0.3902429906542056,0.3800623052959502,0.3582139148494289,0.3813546951490877,0.3642754132384553,0.3856967756281965,0.3692011867675419,0.3784437921577348,0.3792032910829442,0.3810241210502892,0.3815116154873164,0.3804591505448076,0.3813891927951968,0.3752533096138166,0.3776222963457119,0.3567352457193685,0.3503090356533985,0.3360021347565043,0.3130252168112074,0.3140104069379587,0.2864235416203394,0.2828677192202208,0.261426728930398,0.2528828107627307,0.2352168112074716,0.2215414720925061,0.2178683566822326,0.2089030909495219,0.2004376250833889,0.2016390186049959,0.2012309539693128,0.1961313764732043,0.1970887554666073,0.1907692832258543,0.1785480690830924,0.1721923555555555,0.1693878518518518,0.1579651555555555,0.1518385481481481,0.1481735703703703,0.1346604444444444,0.1324144888888889,0.1262429037037037,0.1185912888888889,0.1164911407407407,CTRL,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.150897491666741,0.0770245598929705,0.076945064190961,0.0822845638591607,0.1830124959698545,0.0589140935055519,0.0949138880449017,0.1306862948145177,0.083452819144966,0.1368645059985399,0.1291699379714696,0.1647254203376741,0.1593462794006863,0.219737259051525,0.2506812330958407,0.2440995816655896,0.2599675949730356,0.2673081245655648,0.2579437446897313,0.1829120441592769,0.1746208008561149,0.2042762069134424,0.2727876582410199,0.296437784997703,0.3549523411634592,0.3376231284241938,0.3406048993193982,0.3547268758529843,0.361191994350145,0.3494308331444615,0.3572593248315283,0.3482945562579083,0.3484175701861702,0.3535668731265177,0.3442840270838954,0.3412646135326575,0.3417751198583936,0.3373644046361723,0.3328981566000455,0.3341158221690954,0.3365979091377044,0.3264816691673533,0.3256611319847198,0.3367840439410031,0.3370645196894765,0.3357089955019233,0.3387729246318501,0.3316172544079113,0.3376109008111906,0.3321361630480214,0.3419052028213474,0.3386016522193186,0.3306749107919183,0.3187501356720632,0.3118306433756709,0.3056878070382127,0.2955998836476386,0.277927112428824,0.2733737409139186,0.2577365439954406,0.2407504016879775,0.2319769284476392,0.2235375932979776,0.2111376995464705,0.2036330906431467,0.1950481966370693,0.1897265364293796,0.1953701390426505,0.1845600258595885,0.1826079268795662,0.1755966314649465,0.1706207130094806,0.1643520519338843,0.1593993013332764,0.1538714590578221,0.1438950729037531,0.1402379855727808,0.1315600649331427,0.125129939301799,0.1202758198243426,0.1110841016812284,0.1091329104706468,0.1030258323555077,CTRL,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2680866403683142,0.1510801293534761,0.1946286806814811,0.2445403104667871,0.2086208914246986,0.2286608851165813,0.1839999999999999,0.1672347581483519,0.1716265050445924,0.240775919397579,0.1442319360237095,0.2048481720952352,0.195761098424317,0.338965097891237,0.2863179399678195,0.3823953184649387,0.2478860819684958,0.2564217750678322,0.2559341178197883,0.3568137091121768,0.2852515406812542,0.3384156704172527,0.3370852512466437,0.3339727937345946,0.3714003958438703,0.3847205543893202,0.3904953655041247,0.3861700800260331,0.3804142074890967,0.3858348830454013,0.374623959870577,0.3775422348528331,0.3689226599995446,0.3729779976397174,0.3780629978360226,0.3600012933055273,0.3613788946394795,0.3690341086238074,0.3718771043021214,0.3507800248961314,0.3593334263721494,0.3588731151804045,0.3602152825823088,0.3660330129432829,0.3662598692903612,0.3635806813146714,0.3626442885219464,0.3704612646746462,0.3720950856699438,0.3741382652748353,0.3717155172584324,0.3736572104159207,0.3671316325137828,0.3548935982217686,0.3505263876278137,0.3389134510073106,0.3226044681295799,0.3133637046400314,0.3051138660246887,0.2798975710207885,0.2723534729516677,0.2738198149368012,0.2597896691400225,0.2429672885333481,0.2346960858203715,0.2258557013457403,0.2190352791146823,0.2174188609375278,0.2136805394830283,0.2040867408739366,0.2025880889880605,0.1963004504263917,0.1947766759442239,0.1825320807642017,0.1722674231139755,0.1624568184770431,0.1540528154781568,0.1486901632177496,0.1415179587000342,0.1336762139126432,0.1291471570913968,0.1209023298075978,0.119402095395971,CTRL,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2306781975421029,0.2121741672961185,0.2334460062128994,0.2583064357686154,0.2519381817025471,0.2482297403619197,0.2511059136059136,0.2669076260898356,0.3248134598737989,0.281143196287482,0.2671265895351261,0.2623439545222556,0.2044466646143003,0.2686079679717007,0.2089523566952098,0.2017445960922907,0.2660845583303673,0.2643417999799493,0.2818189600439438,0.2859541008196536,0.2762061003767165,0.3491028773891054,0.3559385853174286,0.3512553161168291,0.3425846427086609,0.2937771248539771,0.2906502885057878,0.2843124057055434,0.3362962623041094,0.3328354939351218,0.3302757885650362,0.3342381203680334,0.3311024982719462,0.318420198069803,0.3355426558892541,0.3283379649875156,0.3248650124637758,0.324632825093148,0.3124351780895924,0.3074529460837977,0.3308860955545621,0.3296262790885955,0.3213313433466273,0.3323998817272052,0.3062938022943514,0.3231504915713034,0.3213922397558511,0.3315439879755991,0.3440611920912109,0.344523019194689,0.3299961162405677,0.3401272136548758,0.3369835978631109,0.3214865763897933,0.324245336261993,0.3052001309448799,0.2960105225240447,0.2837772669832341,0.2677958902550492,0.2756544603979739,0.2500736271614412,0.2299379185161457,0.2239708917510592,0.2170411385164508,0.1995677410952201,0.1976779577292092,0.1931084976891044,0.1853915498312148,0.1702940510426897,0.1858736757377676,0.174994455962744,0.181819077824203,0.1644390783639399,0.1605555535999868,0.1493933239231367,0.1409687339765589,0.1366191580807423,0.1290687073417133,0.1236842444914563,0.1174215357393868,0.1128571210665202,0.1040684433399392,0.1036914488065359,CTRL,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1433920302615274,0.0769782758476906,0.0678006513974525,0.1189842467270346,0.1260117292281035,0.0367092644728513,0.0521650404327972,0.0986977177456916,0.1327314070212412,0.156746895308793,0.2530022216009563,0.1339194224499301,0.1293871503082029,0.1296903438805205,0.1773504330230951,0.1815835137802524,0.1746713486551747,0.2050023389569261,0.2771145095138398,0.3618813537511259,0.2407694287439494,0.3111272014924963,0.3358295971511679,0.404267952558068,0.4167843937548687,0.4423322626019486,0.4668751302897644,0.4574525609781499,0.4599742587049465,0.4378011082235712,0.4389110889110889,0.4315070090579859,0.4465761000674491,0.4333958590780216,0.4279156857143795,0.4497605258508124,0.4419237002867472,0.4420677999638158,0.4516301627358736,0.4533125545443212,0.4576555620443704,0.4538338178072034,0.4421404634744789,0.4522039934868482,0.4595860501456068,0.4368230698202997,0.4269706218208242,0.4268524316084512,0.4242954318215345,0.4212981691225884,0.4117466275467554,0.4077422456795992,0.3973830090642364,0.3816738513989739,0.3711542450021035,0.3595639987542822,0.3501781048697733,0.3319279013478886,0.3122298677244341,0.3009482098269654,0.267524092073847,0.2576149966944768,0.2395902243931223,0.2260443322569894,0.2147846601867484,0.1980265643866751,0.1829374026782933,0.1748104924410059,0.159477060761527,0.1516058942123293,0.1402666491829074,0.1334953203625694,0.1231451097379075,0.1171078365487059,0.1087433001688275,0.1035963437088517,0.0967277614778147,0.0935131319422817,0.0870689024023777,0.0865686046321034,0.0827181563375895,0.0792108705272992,0.0758652657804586,CTRL,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
